organization,year,records,sector,method,grouped_sector,attack_category
21st Century Oncology,2016,2200000,healthcare,hacked,Healthcare & Health Services,Hacked
500px,2020,14870304,social networking,hacked,Social & Networking Services,Hacked
Accendo Insurance Co.,2020,175350,healthcare,poor security,Healthcare & Health Services,Poor security/Misconfiguration
Adobe Systems Incorporated,2013,152000000,tech,hacked,Technology & IT Services,Hacked
Adobe Inc.,2019,7500000,tech,poor security,Technology & IT Services,Poor security/Misconfiguration
Advocate Medical Group,2017,4000000,healthcare,lost / stolen media,Healthcare & Health Services,Other
AerServ (subsidiary of InMobi),2018,75000,advertising,hacked,Media & Advertising,Hacked
"Affinity Health Plan, Inc.",2013,344579,healthcare,lost / stolen media,Healthcare & Health Services,Other
Airtel,2019,320000000,telecommunications,poor security,Telecommunications,Poor security/Misconfiguration
Air Canada,2018,20000,transport,hacked,Transport & Logistics,Hacked
Amazon Japan G.K.,2019,43797808,web,accidentally published,Technology & IT Services,Accidentally published
TD Ameritrade,2005,200000,financial,lost / stolen media,Financial Services,Other
Ancestry.com,2021,300000,web,poor security,Technology & IT Services,Poor security/Misconfiguration
Animal Jam,2020,46000000,gaming,hacked,Gaming & Entertainment,Hacked
"Ankle & Foot Center of Tampa Bay, Inc.",2021,156000,healthcare,hacked,Healthcare & Health Services,Hacked
Anthem Inc.,2015,80000000,healthcare,hacked,Healthcare & Health Services,Hacked
AOL,2004,92000000,web,"inside job, hacked",Technology & IT Services,Hacked
AOL,2006,20000000,web,accidentally published,Technology & IT Services,Accidentally published
AOL,2014,2400000,web,hacked,Technology & IT Services,Hacked
"Apple, Inc./BlueToad",2021,12367232,"tech, retail",accidentally published,Retail & Consumer Services,Accidentally published
Apple,2021,275000,tech,hacked,Technology & IT Services,Hacked
Apple Health Medicaid,2021,91000,healthcare,poor security,Healthcare & Health Services,Poor security/Misconfiguration
Ashley Madison,2015,32000000,web,hacked,Technology & IT Services,Hacked
AT&T,2008,113000,telecoms,lost / stolen computer,Telecommunications,Other
AT&T,2010,114000,telecoms,hacked,Telecommunications,Hacked
Atraf,2021,43797808,dating,hacked,Social & Networking Services,Hacked
Auction.co.kr,2008,18000000,web,hacked,Technology & IT Services,Hacked
Australian Immigration Department,2015,43797808,government,accidentally published,Government & Public Services,Accidentally published
Australian National University,2019,43797808,academic,hacked,Educational & Academic Services,Hacked
Automatic Data Processing,2005,125000,financial,poor security,Financial Services,Poor security/Misconfiguration
"AvMed, Inc.",2009,1220000,healthcare,lost / stolen computer,Healthcare & Health Services,Other
Bailey's Inc.,2015,250000,retail,hacked,Retail & Consumer Services,Hacked
The Bank of New York Mellon,2008,12500000,financial,lost / stolen media,Financial Services,Other
Bank of America,2005,1200000,financial,lost / stolen media,Financial Services,Other
Barnes & Noble,2012,43797808,retail,hacked,Retail & Consumer Services,Hacked
Bell Canada,2017,1900000,telecoms,poor security,Telecommunications,Poor security/Misconfiguration
Bell Canada,2018,100000,telecoms,hacked,Telecommunications,Hacked
Benesse,2014,35040000,educational services,hacked,Educational & Academic Services,Hacked
Betfair,2010,2300000,web,hacked,Technology & IT Services,Hacked
Bethesda Game Studios,2011,200000,gaming,hacked,Gaming & Entertainment,Hacked
Bethesda Game Studios,2018,43797808,gaming,accidentally published,Gaming & Entertainment,Accidentally published
Betsson Group,2020,43797808,gambling,unknown,Miscellaneous & Other,Unknown
Blank Media Games,2018,7633234,gaming,hacked,Gaming & Entertainment,Hacked
Blizzard Entertainment,2012,14000000,gaming,hacked,Gaming & Entertainment,Hacked
BlueCross BlueShield of Tennessee,2009,1023209,healthcare,lost / stolen media,Healthcare & Health Services,Other
BMO and Simplii,2018,90000,banking,poor security,Financial Services,Poor security/Misconfiguration
British Airways,2018,500000,transport,hacked,Transport & Logistics,Hacked
British Airways,2015,43797808,retail,hacked,Retail & Consumer Services,Hacked
Bulgarian Revenue Agency,2019,43797808,government,hacked,Government & Public Services,Hacked
California Department of Child Support Services,2012,800000,government,lost / stolen media,Government & Public Services,Other
Canva,2019,140000000,web,hacked,Technology & IT Services,Hacked
Capcom,2020,350000,game,hacked,Gaming & Entertainment,Hacked
Capital One,2019,106000000,financial,unsecured S3 bucket,Financial Services,Other
"CardSystems Solutions Inc. (MasterCard, Visa, Discover Financial Services and American Express)",2005,40000000,financial,hacked,Financial Services,Hacked
Cathay Pacific Airways,2018,9400000,transport,hacked,Transport & Logistics,Hacked
CareFirst BlueCross Blue Shield - Maryland,2015,1100000,healthcare,hacked,Healthcare & Health Services,Hacked
Central Coast Credit Union,2016,60000,financial,hacked,Financial Services,Hacked
Central Hudson Gas & Electric,2013,110000,energy,hacked,Energy & Utilities,Hacked
CheckFree Corporation,2009,5000000,financial,hacked,Financial Services,Hacked
CheckPeople,2020,56000000,background check,unknown,Financial Services,Unknown
China Software Developer Network,2011,6000000,web,hacked,Technology & IT Services,Hacked
"Chinese gaming websites (three: Duowan, 7K7K, 178.com)",2011,10000000,web,hacked,Technology & IT Services,Hacked
Citigroup,2005,3900000,financial,lost / stolen media,Financial Services,Other
Citigroup,2011,360083,financial,hacked,Financial Services,Hacked
Citigroup,2013,150000,financial,poor security,Financial Services,Poor security/Misconfiguration
City and Hackney Teaching Primary Care Trust,2007,160000,healthcare,lost / stolen media,Healthcare & Health Services,Other
Clearview AI,2020,43797808,information technology,hacked,Technology & IT Services,Hacked
Colorado government,2010,105470,healthcare,lost / stolen computer,Healthcare & Health Services,Other
Community Health Systems,2014,4500000,healthcare,hacked,Healthcare & Health Services,Hacked
Philippines Commission on Elections,2016,55000000,government,hacked,Government & Public Services,Hacked
Compass Bank,2007,1000000,financial,inside job,Financial Services,Inside job
Countrywide Financial Corp,2006,2600000,financial,inside job,Financial Services,Inside job
Countrywide Financial Corp,2011,2500000,financial,inside job,Financial Services,Inside job
Centers for Medicare & Medicaid Services,2018,75000,healthcare,hacked,Healthcare & Health Services,Hacked
Cox Communications,2016,40000,telecoms,hacked,Telecommunications,Hacked
"Crescent Health Inc., Walgreens",2013,100000,healthcare,lost / stolen computer,Healthcare & Health Services,Other
CVS,2015,43797808,retail,hacked,Retail & Consumer Services,Hacked
CyberServe,2021,1107034,hosting provider,hacked,Technology & IT Services,Hacked
Dai Nippon Printing,2007,8637405,retail,inside job,Retail & Consumer Services,Inside job
"Data Processors International (MasterCard, Visa, Discover Financial Services and American Express)",2008,8000000,financial,hacked,Financial Services,Hacked
Defense Integrated Data Center (South Korea),2017,43797808,military,hacked,Miscellaneous & Other,Hacked
Dedalus,2021,500000,health,poor security,Healthcare & Health Services,Poor security/Misconfiguration
Deloitte,2017,43797808,"consulting, accounting",poor security,Consulting & Professional Services,Poor security/Misconfiguration
Democratic National Committee,2016,19252,political,unknown,Miscellaneous & Other,Unknown
US Department of Homeland Security,2016,30000,government,poor security,Government & Public Services,Poor security/Misconfiguration
Desjardins,2019,9700000,financial,inside job,Financial Services,Inside job
Domino's Pizza (France),2014,600000,web,hacked,Technology & IT Services,Hacked
DoorDash,2019,4900000,web,hacked,Technology & IT Services,Hacked
UK Driving Standards Agency,2007,3000000,government,lost / stolen media,Government & Public Services,Other
Dropbox,2012,68648009,web,hacked,Technology & IT Services,Hacked
Drupal,2013,1000000,web,hacked,Technology & IT Services,Hacked
DSW Inc.,2005,1400000,retail,hacked,Retail & Consumer Services,Hacked
Dubsmash,2018,162000000,messaging app,hacked,Social & Networking Services,Hacked
Dun & Bradstreet,2013,1000000,tech,hacked,Technology & IT Services,Hacked
EasyJet,2019,43797808,transport,hacked,Transport & Logistics,Hacked
eBay,2014,145000000,web,hacked,Technology & IT Services,Hacked
"Earl Enterprises(Buca di Beppo, Earl of Sandwich, Planet Hollywood,Chicken Guy, Mixology, Tequila Taqueria)",2018,2000000,restaurant,hacked,Hospitality & Food Services,Hacked
Educational Credit Management Corporation,2010,3300000,financial,lost / stolen media,Financial Services,Other
Eisenhower Medical Center,2011,514330,healthcare,lost / stolen computer,Healthcare & Health Services,Other
ElasticSearch,2019,108000000,tech,poor security,Technology & IT Services,Poor security/Misconfiguration
Embassy Cables,2010,251000,government,inside job,Government & Public Services,Inside job
"Emergency Healthcare Physicians, Ltd.",2010,180111,healthcare,lost / stolen media,Healthcare & Health Services,Other
Emory Healthcare,2012,315000,healthcare,poor security,Healthcare & Health Services,Poor security/Misconfiguration
Equifax,2017,163119000,"financial, credit reporting",poor security,Financial Services,Poor security/Misconfiguration
European Central Bank,2014,43797808,financial,hacked,Financial Services,Hacked
Evernote,2013,50000000,web,hacked,Technology & IT Services,Hacked
Exactis,2018,340000000,data broker,poor security,Financial Services,Poor security/Misconfiguration
Excellus BlueCross BlueShield,2015,10000000,healthcare,hacked,Healthcare & Health Services,Hacked
Experian - T-Mobile US,2015,15000000,telecoms,hacked,Telecommunications,Hacked
EyeWire,2016,43797808,tech,lost / stolen computer,Technology & IT Services,Other
Facebook,2013,6000000,social network,accidentally published,Social & Networking Services,Accidentally published
Facebook,2018,50000000,social network,poor security,Social & Networking Services,Poor security/Misconfiguration
Facebook,2019,540000000,social network,poor security,Social & Networking Services,Poor security/Misconfiguration
Facebook,2019,1500000,social network,accidentally uploaded,Social & Networking Services,Accidentally published
Facebook,2019,267000000,social network,poor security,Social & Networking Services,Poor security/Misconfiguration
Fast Retailing,2019,461091,retail,hacked,Retail & Consumer Services,Hacked
Federal Reserve Bank of Cleveland,2010,400000,financial,hacked,Financial Services,Hacked
Fidelity National Information Services,2007,8500000,financial,inside job,Financial Services,Inside job
First American Corporation,2019,885000000,financial service company,poor security,Financial Services,Poor security/Misconfiguration
FireEye,2020,43797808,Information Security,hacked,Technology & IT Services,Hacked
Florida Department of Juvenile Justice,2013,100000,government,lost / stolen computer,Government & Public Services,Other
Friend Finder Networks,2016,412214295,web,poor security / hacked,Technology & IT Services,Hacked
Funimation,2016,2500000,web,hacked,Technology & IT Services,Hacked
Formspring,2012,420000,web,accidentally published,Technology & IT Services,Accidentally published
Unknown,2020,201000000,personal and demographic data about residents and their properties of US,Poor security,Miscellaneous & Other,Poor security/Misconfiguration
Gamigo,2012,8000000,web,hacked,Technology & IT Services,Hacked
Gap Inc.,2007,800000,retail,lost / stolen computer,Retail & Consumer Services,Other
Gawker,2010,1500000,web,hacked,Technology & IT Services,Hacked
Global Payments,2012,7000000,financial,hacked,Financial Services,Hacked
Gmail,2014,5000000,web,hacked,Technology & IT Services,Hacked
Google Plus,2018,500000,social network,poor security,Social & Networking Services,Poor security/Misconfiguration
Greek government,2012,9000000,government,hacked,Government & Public Services,Hacked
Grozio Chirurgija,2017,25000,healthcare,hacked,Healthcare & Health Services,Hacked
GS Caltex,2008,11100000,energy,inside job,Energy & Utilities,Inside job
Gyft,2016,43797808,web,hacked,Technology & IT Services,Hacked
Hannaford Brothers Supermarket Chain,2007,4200000,retail,hacked,Retail & Consumer Services,Hacked
HauteLook,2018,28517244,retail,hacked,Retail & Consumer Services,Hacked
Health Net,2009,500000,healthcare,lost / stolen media,Healthcare & Health Services,Other
Health Net — IBM,2011,1900000,healthcare,lost / stolen media,Healthcare & Health Services,Other
Health Sciences Authority (Singapore),2019,808000,healthcare,poor security,Healthcare & Health Services,Poor security/Misconfiguration
Health Service Executive,2021,43797808,healthcare,unknown,Healthcare & Health Services,Unknown
Heartland,2009,130000000,financial,hacked,Financial Services,Hacked
Heathrow Airport,2017,43797808,transport,lost / stolen media,Transport & Logistics,Other
Hewlett Packard,2006,200000,"tech, retail",lost / stolen media,Retail & Consumer Services,Other
